epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,653.447,0.54795,0.3495,0.92851,0.97985,0.97048,0.99186,0.803,0.82906,0.4112,1.1737,0.0005546,0.0005546,0.0005546
75,670.781,0.52885,0.3394,0.92179,0.96655,0.95973,0.98665,0.80783,0.84261,0.42519,1.15588,0.0005348,0.0005348,0.0005348
76,688.752,0.52094,0.33415,0.92074,0.96347,0.97786,0.98637,0.81059,0.81902,0.42246,1.15092,0.000515,0.000515,0.000515
77,698.864,0.51344,0.3353,0.91447,0.96666,0.96679,0.98654,0.80826,0.81044,0.42445,1.15073,0.0004952,0.0004952,0.0004952
78,707.289,0.5341,0.34664,0.92567,0.96689,0.96971,0.98387,0.8095,0.79761,0.43702,1.13556,0.0004754,0.0004754,0.0004754
79,724.559,0.52762,0.34388,0.92361,0.94938,0.96899,0.98008,0.80399,0.80159,0.43039,1.13322,0.0004556,0.0004556,0.0004556
80,737.693,0.51003,0.32945,0.91779,0.96596,0.97417,0.98539,0.81266,0.79197,0.42231,1.123,0.0004358,0.0004358,0.0004358
81,746.501,0.51711,0.33278,0.91067,0.97609,0.9631,0.98695,0.81392,0.7733,0.40154,1.11309,0.000416,0.000416,0.000416
82,758.343,0.51297,0.32547,0.91351,0.9776,0.96613,0.98925,0.81876,0.75933,0.4011,1.11226,0.0003962,0.0003962,0.0003962
83,776.486,0.51495,0.32294,0.91786,0.97358,0.97048,0.98682,0.81193,0.79435,0.41241,1.14526,0.0003764,0.0003764,0.0003764
84,794.825,0.51035,0.32464,0.9174,0.98504,0.97212,0.98703,0.81975,0.80861,0.41232,1.14439,0.0003566,0.0003566,0.0003566
85,812.507,0.51843,0.33034,0.92949,0.99036,0.96679,0.9892,0.81435,0.80411,0.39406,1.1454,0.0003368,0.0003368,0.0003368
86,830.649,0.50415,0.32237,0.91578,0.98741,0.9631,0.98649,0.82194,0.79447,0.41218,1.13585,0.000317,0.000317,0.000317
87,849.011,0.50162,0.31989,0.90654,0.97426,0.97778,0.99053,0.82422,0.80025,0.38447,1.14191,0.0002972,0.0002972,0.0002972
88,867.227,0.50901,0.31582,0.90843,0.97293,0.9631,0.98796,0.82423,0.79422,0.40034,1.12628,0.0002774,0.0002774,0.0002774
89,885.414,0.49758,0.31462,0.91162,0.98429,0.97786,0.99085,0.82456,0.8042,0.3913,1.1413,0.0002576,0.0002576,0.0002576
90,903.441,0.50522,0.31371,0.90871,0.98144,0.97786,0.98843,0.83255,0.77799,0.39372,1.12173,0.0002378,0.0002378,0.0002378
91,921.829,0.38798,0.25316,0.87353,0.98134,0.97027,0.99032,0.82192,0.78875,0.39019,1.13285,0.000218,0.000218,0.000218
92,939.904,0.39124,0.25029,0.85771,0.98682,0.96679,0.99064,0.83064,0.79015,0.38057,1.1278,0.0001982,0.0001982,0.0001982
93,957.74,0.39042,0.25039,0.8634,0.98397,0.96679,0.988,0.82393,0.79954,0.38053,1.13299,0.0001784,0.0001784,0.0001784
94,975.376,0.37877,0.2428,0.86347,0.98125,0.96578,0.98683,0.82199,0.80182,0.38731,1.14267,0.0001586,0.0001586,0.0001586
95,991.337,0.3769,0.2391,0.85955,0.98118,0.96181,0.98705,0.82416,0.80736,0.38744,1.14892,0.0001388,0.0001388,0.0001388
96,1008.34,0.37645,0.23913,0.85674,0.98527,0.9631,0.9871,0.82698,0.79538,0.39109,1.1423,0.000119,0.000119,0.000119
97,1026.26,0.38101,0.23512,0.86209,0.98138,0.97234,0.98851,0.83242,0.79085,0.38731,1.15882,9.92e-05,9.92e-05,9.92e-05
98,1040.68,0.36903,0.22862,0.85248,0.97608,0.98155,0.98876,0.83309,0.78703,0.37938,1.1572,7.94e-05,7.94e-05,7.94e-05
99,1049.07,0.36264,0.22882,0.8528,0.97793,0.98116,0.98865,0.82882,0.78134,0.38016,1.14376,5.96e-05,5.96e-05,5.96e-05
100,1065.06,0.36407,0.22852,0.84966,0.97632,0.98155,0.99013,0.8306,0.78037,0.37661,1.141,3.98e-05,3.98e-05,3.98e-05
